student_id,student_name,student_sex,student_dob,Course_Title,course_id,billing_amount,admission_type,date_of_enrollment,test_results
0,Tiffany Ramirez,Female,1994-10-06,Fashion as Design,0,37490.9833635282,regular,2022-11-17,Ongoing
1,Ruben Burns,Male,1973-03-31,Modern American Poetry,1,47304.0648454751,financial_aid,2023-06-01,Placed
2,Chad Byrd,Male,1932-05-10,Pixel Art for Video Games,2,36874.8969966128,financial_aid,2019-01-09,Placed
3,Antonio Frederick,Male,1944-10-04,Distribución digital de la música independiente,3,23303.3220921969,financial_aid,2020-05-02,Unplaced
4,Mrs. Brandy Flowers,Male,1989-01-26,The Blues: Understanding and Performing an American Art Form,4,18086.3441835639,financial_aid,2021-07-09,Placed
5,Patrick Parker,Male,1962-10-04,So You Think You Know Tango?,5,22522.3633848533,financial_aid,2020-08-20,Unplaced
6,Charles Horton,Male,1960-11-23,The Politics of Skepticism,6,39593.4357611308,financial_aid,2021-03-22,Unplaced
7,Patty Norman,Female,1990-07-23,Становлення сучасної України,7,13546.8172493648,regular,2019-05-16,Placed
8,Ryan Hayes,Male,1947-02-26,Exploring Beethoven's Piano Sonatas Part 4,8,24903.0372697387,regular,2020-12-17,Unplaced
9,Sharon Perez,Female,1976-02-19,悖论：思维的魔方,9,22788.2360263768,financial_aid,2022-12-15,Placed
10,Amy Roberts,Male,1942-02-13,拍摄：像剪辑师一样拍摄,10,40325.071393983,financial_aid,2021-04-13,Unplaced
11,Mrs. Caroline Farrell,Female,1990-02-17,In the Studio: Postwar Abstract Painting,11,6185.90352955285,financial_aid,2019-06-09,Ongoing
12,Christina Williams,Female,1969-06-28,Philosophy of Science,12,4835.94564952541,regular,2021-11-29,Ongoing
13,William Page,Female,1961-02-10,Basic Elements of Design: Design Principles and Software Overview,13,2252.68272081695,regular,2022-07-07,Unplaced
14,Michael Bradshaw,Female,1973-11-14,"Online Games: Literature, New Media, and Narrative",14,27633.4501387576,financial_aid,2021-11-28,Unplaced
15,Brian Dorsey,Female,1952-10-14,Concept Art for Video Games,15,13669.3777441649,regular,2021-07-29,Placed
16,Olivia Gonzalez,Male,1934-08-13,The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,16,10342.8361235274,financial_aid,2021-06-05,Ongoing
17,Teresa Caldwell,Male,1932-02-09,Shaping Urban Futures,17,27174.9429062325,financial_aid,2021-08-07,Ongoing
18,Desiree Williams MD,Male,1993-11-19,中国哲学经典著作导读,18,17394.9942644532,regular,2019-11-15,Ongoing
19,Sally Shaw,Male,1936-08-30,Cultura Maya en Yucatán,19,45213.5376264196,regular,2022-03-08,Ongoing
20,William Johnson,Female,1944-07-17,Antisemitismo: Desde sus orígenes hasta el presente,20,4262.91157816964,regular,2022-06-19,Ongoing
21,Steven Bennett,Male,1943-10-31,"Herencia negra, aplicación de ritmos afroperuanos",21,16609.3118174499,financial_aid,2019-07-10,Ongoing
22,Haley Li,Male,1947-07-31,Storytelling y medios digitales,22,32263.6221565625,financial_aid,2023-02-25,Placed
23,Angela Brown,Female,1978-02-06,游戏产业概论,23,39952.3848558552,regular,2019-06-21,Ongoing
24,Beverly Miller,Male,1987-05-01,Overcoming  Challenges in Self and Society,24,42610.7045626294,financial_aid,2022-12-12,Unplaced
25,Daniel Dickson,Female,1984-02-16,Proyecto final de Músico moderno,25,16701.3471319621,financial_aid,2022-10-09,Unplaced
26,Kimberly Mason,Female,1947-07-07,"Internal Displacement, Conflict and Protection",26,22331.2801561992,financial_aid,2019-01-10,Unplaced
27,Francis Newman,Female,1953-09-23,"Health, Society, and Wellness in COVID-19 Times ",27,20142.7646734266,regular,2022-11-03,Unplaced
28,Ronnie Hughes,Female,2000-04-01,Indigenous Canada,28,38012.8144426165,regular,2019-02-28,Unplaced
29,Shannon Fitzpatrick DVM,Female,1981-11-11,Graphic Design Specialization,29,41319.5003156552,financial_aid,2022-08-05,Placed
30,Teresa Gonzalez,Female,1996-05-07,UI / UX Design Specialization,30,37766.5212373568,financial_aid,2021-05-27,Unplaced
31,Rodney Maynard,Male,1980-06-18,Creative Writing Specialization,31,35834.3566031777,regular,2021-07-12,Unplaced
32,Kevin Johnson,Male,1937-07-10,Modern and Contemporary Art and Design Specialization,32,12680.7305210585,financial_aid,2021-05-25,Unplaced
33,Rebecca Parsons,Male,1999-12-16,Game Design: Art and Concepts Specialization,33,12935.4132498635,regular,2019-05-14,Unplaced
34,Linda Chavez,Male,2002-03-26,The DIY Musician Specialization,34,18393.4217510935,financial_aid,2022-12-02,Ongoing
35,Jennifer Rodriguez,Female,1930-07-09,Music Production Specialization,35,22356.0822682507,financial_aid,2021-11-09,Unplaced
36,Anna Adams,Female,1982-05-06,The Business of Music Production Specialization,36,21001.2748728322,financial_aid,2023-07-09,Placed
37,Mariah Williams,Male,1938-03-25,The Singer Songwriter Specialization,37,9007.96786622078,financial_aid,2021-02-06,Unplaced
38,Brendan Moody,Male,1987-08-12,"Songwriting: Writing, Arranging, and Producing Music Specialization",38,5706.43814173681,financial_aid,2022-10-01,Unplaced
39,Michael Burns,Male,1935-03-15,Fundamentals of Graphic Design,39,39031.3626440168,regular,2021-01-29,Unplaced
40,Miguel Baker,Male,1996-01-13,Photography Basics and Beyond: From Smartphone to DSLR Specialization,40,24609.3746268073,financial_aid,2019-12-01,Unplaced
41,Mr. Christopher Miller,Male,1933-06-21,Electronic Music Production Specialization,41,5098.66312754721,financial_aid,2019-11-12,Unplaced
42,Theresa Mendoza,Female,1979-01-16,Introduction to Philosophy,42,31178.8199200549,regular,2021-07-08,Placed
43,Laura Adams,Female,1961-03-13,Introduction to Logic and Critical Thinking Specialization,43,1000.18083702175,financial_aid,2022-09-06,Unplaced
44,Lauren Barton,Male,1939-09-27,Finding Your Professional Voice: Confidence & Impact,44,24913.5526516526,regular,2021-03-19,Placed
45,Christina Hernandez,Female,1940-08-26,Memoir and Personal Essay: Write About Yourself Specialization,45,24274.1416006245,regular,2021-02-24,Placed
46,Kyle Byrd,Female,1954-03-14,Fundamentals of Music Theory,46,16171.9485556363,financial_aid,2021-06-30,Ongoing
47,Jasmine Singleton,Male,1969-09-15,Visual Elements of User Interface Design,47,39329.1143090215,financial_aid,2019-03-25,Ongoing
